timestamp_ms,forearm_L.angular_velocity,forearm_L.linear_acceleration,hand_L.angular_velocity,hand_L.linear_acceleration,head.angular_velocity,head.linear_acceleration,upper_torso.angular_velocity,upper_torso.linear_acceleration
488,3.3234746,0.02919182,0.81659466,0.1751436,1.6704018,0.23668946,4.309358,0.107104234
490,3.3234746,0.02919182,0.81659466,0.1751436,1.8411992,0.22405963,4.309358,0.107104234
500,3.3234746,0.02919182,0.81659466,0.1751436,1.9927768,0.22366491,4.309358,0.107104234
501,3.3234746,0.02919182,0.81659466,0.1751436,1.9927768,0.22366491,4.222027,0.1179893
501,3.3234746,0.02919182,0.81659466,0.1751436,1.9927768,0.22366491,4.006529,0.13587183
514,3.4315653,0.05768056,1.1020184,0.22099864,1.9927768,0.22366491,4.006529,0.13587183
514,2.881609,0.03585911,1.1020184,0.22099864,1.9927768,0.22366491,4.006529,0.13587183
517,2.881609,0.03585911,1.1020184,0.22099864,1.8411992,0.1965145,4.006529,0.13587183
517,2.881609,0.03585911,1.1020184,0.22099864,1.6592134,0.21149199,4.006529,0.13587183
536,2.881609,0.03585911,1.1020184,0.22099864,1.6592134,0.21149199,3.953646,0.12661076
537,2.881609,0.03585911,1.1020184,0.22099864,1.6592134,0.21149199,3.541091,0.07991982
547,2.8867755,0.04456375,1.1020184,0.22099864,1.6592134,0.21149199,3.541091,0.07991982
547,2.8867755,0.04456375,1.1020184,0.22099864,1.5880873,0.20902756,3.541091,0.07991982
548,2.4604058,0.041768637,0.9195873,0.2041322,1.5380374,0.24624734,3.541091,0.07991982
549,2.5873435,0.02371696,0.94948417,0.18435879,1.5380374,0.24624734,3.541091,0.07991982
550,2.5873435,0.02371696,1.0935347,0.15486276,1.610218,0.2556895,3.541091,0.07991982
565,2.5873435,0.02371696,1.0935347,0.15486276,1.610218,0.2556895,3.2423398,0.07897301
566,2.5873435,0.02371696,1.0935347,0.15486276,1.610218,0.2556895,2.817551,0.09711993
581,2.5873435,0.02371696,1.0935347,0.15486276,1.610218,0.2556895,2.3827171,0.08889249
582,2.8089435,0.04817414,1.0935347,0.15486276,1.610218,0.2556895,2.3827171,0.08889249
583,2.8089435,0.04817414,1.4875559,0.12944233,1.6925566,0.27668777,2.3827171,0.08889249
584,2.4573758,0.06867061,1.7531012,0.14944312,1.6067439,0.257461,2.3827171,0.08889249
584,1.3620553,0.117188364,1.3399962,0.1551802,1.5452867,0.25296754,2.3827171,0.08889249
598,1.3620553,0.117188364,1.3399962,0.1551802,1.5452867,0.25296754,1.9512166,0.06856754
599,1.3620553,0.117188364,1.3399962,0.1551802,1.5452867,0.25296754,2.0517256,0.07210686
614,1.1154581,0.094345935,1.3399962,0.1551802,1.5452867,0.25296754,2.5357149,0.085728094
614,1.8391746,0.11137116,0.86747247,0.1714925,1.42488,0.32458007,2.5357149,0.085728094
616,1.8391746,0.11137116,0.86747247,0.1714925,1.42488,0.32458007,2.896438,0.092577234
617,3.3318708,0.10622936,0.9336583,0.19663619,1.42488,0.32458007,2.896438,0.092577234
